run, name, edit distance, time(ms), memory_KB, file1, file2
29, Memoización, 7376, 343.437, 254504, files/test2.txt, files/test3.txt
30, Memoización, 7376, 354.313, 254500, files/test2.txt, files/test3.txt
1, Memoización, 14110, 678.168, 505092, files/test2.txt, files/test4.txt
2, Memoización, 14110, 679.069, 505096, files/test2.txt, files/test4.txt
3, Memoización, 14110, 680.827, 505128, files/test2.txt, files/test4.txt
4, Memoización, 14110, 678.805, 505128, files/test2.txt, files/test4.txt
5, Memoización, 14110, 679.914, 505128, files/test2.txt, files/test4.txt
6, Memoización, 14110, 673.215, 505128, files/test2.txt, files/test4.txt
7, Memoización, 14110, 674.504, 505120, files/test2.txt, files/test4.txt
8, Memoización, 14110, 678.472, 505128, files/test2.txt, files/test4.txt
9, Memoización, 14110, 676.665, 505072, files/test2.txt, files/test4.txt
10, Memoización, 14110, 682.502, 505080, files/test2.txt, files/test4.txt
11, Memoización, 14110, 682.456, 505072, files/test2.txt, files/test4.txt
12, Memoización, 14110, 678.917, 505124, files/test2.txt, files/test4.txt
13, Memoización, 14110, 675.716, 505096, files/test2.txt, files/test4.txt
14, Memoización, 14110, 674.526, 505000, files/test2.txt, files/test4.txt
15, Memoización, 14110, 675.784, 505128, files/test2.txt, files/test4.txt
16, Memoización, 14110, 675.679, 505128, files/test2.txt, files/test4.txt
17, Memoización, 14110, 677.854, 505088, files/test2.txt, files/test4.txt
18, Memoización, 14110, 681.187, 505128, files/test2.txt, files/test4.txt
19, Memoización, 14110, 674.037, 505128, files/test2.txt, files/test4.txt
20, Memoización, 14110, 679.296, 505088, files/test2.txt, files/test4.txt
21, Memoización, 14110, 677.853, 505116, files/test2.txt, files/test4.txt
22, Memoización, 14110, 675.379, 505096, files/test2.txt, files/test4.txt
23, Memoización, 14110, 677.378, 505068, files/test2.txt, files/test4.txt
24, Memoización, 14110, 684.108, 505120, files/test2.txt, files/test4.txt
25, Memoización, 14110, 674.696, 505124, files/test2.txt, files/test4.txt
26, Memoización, 14110, 676.855, 505128, files/test2.txt, files/test4.txt
27, Memoización, 14110, 678.995, 505128, files/test2.txt, files/test4.txt
28, Memoización, 14110, 678.785, 505128, files/test2.txt, files/test4.txt
29, Memoización, 14110, 678.196, 505128, files/test2.txt, files/test4.txt
30, Memoización, 14110, 678.612, 505064, files/test2.txt, files/test4.txt
1, Memoización, 29038, 1318.17, 1014012, files/test2.txt, files/test5.txt
2, Memoización, 29038, 1315.57, 1014080, files/test2.txt, files/test5.txt
3, Memoización, 29038, 1325.46, 1014072, files/test2.txt, files/test5.txt
4, Memoización, 29038, 1327.1, 1014044, files/test2.txt, files/test5.txt
5, Memoización, 29038, 1324.44, 1014076, files/test2.txt, files/test5.txt
6, Memoización, 29038, 1328.3, 1014068, files/test2.txt, files/test5.txt
7, Memoización, 29038, 1335.63, 1014036, files/test2.txt, files/test5.txt
8, Memoización, 29038, 1325.61, 1013964, files/test2.txt, files/test5.txt
9, Memoización, 29038, 1325.83, 1014072, files/test2.txt, files/test5.txt
10, Memoización, 29038, 1341.19, 1014044, files/test2.txt, files/test5.txt
11, Memoización, 29038, 1329.74, 1014080, files/test2.txt, files/test5.txt
12, Memoización, 29038, 1325.47, 1013980, files/test2.txt, files/test5.txt
13, Memoización, 29038, 1322.7, 1014004, files/test2.txt, files/test5.txt
14, Memoización, 29038, 1318.41, 1014068, files/test2.txt, files/test5.txt
15, Memoización, 29038, 1324.21, 1013952, files/test2.txt, files/test5.txt
16, Memoización, 29038, 1327.93, 1014040, files/test2.txt, files/test5.txt
17, Memoización, 29038, 1334.1, 1014076, files/test2.txt, files/test5.txt
18, Memoización, 29038, 1332.71, 1014076, files/test2.txt, files/test5.txt
19, Memoización, 29038, 1324.36, 1014040, files/test2.txt, files/test5.txt
20, Memoización, 29038, 1333.15, 1014000, files/test2.txt, files/test5.txt
21, Memoización, 29038, 1326.09, 1014068, files/test2.txt, files/test5.txt
22, Memoización, 29038, 1342.77, 1014076, files/test2.txt, files/test5.txt
23, Memoización, 29038, 1330.08, 1014028, files/test2.txt, files/test5.txt
24, Memoización, 29038, 1324.18, 1013976, files/test2.txt, files/test5.txt
25, Memoización, 29038, 1322.63, 1014076, files/test2.txt, files/test5.txt
26, Memoización, 29038, 1327.81, 1014072, files/test2.txt, files/test5.txt
27, Memoización, 29038, 1325.05, 1014048, files/test2.txt, files/test5.txt
28, Memoización, 29038, 1326.33, 1014076, files/test2.txt, files/test5.txt
29, Memoización, 29038, 1322.16, 1014076, files/test2.txt, files/test5.txt
30, Memoización, 29038, 1327.38, 1014072, files/test2.txt, files/test5.txt
1, Memoización, 7056, 171.162, 129284, files/test3.txt, files/test1.txt
2, Memoización, 7056, 170.134, 129284, files/test3.txt, files/test1.txt
3, Memoización, 7056, 169.721, 129304, files/test3.txt, files/test1.txt
4, Memoización, 7056, 173.211, 129308, files/test3.txt, files/test1.txt
5, Memoización, 7056, 168.701, 129312, files/test3.txt, files/test1.txt
6, Memoización, 7056, 167.304, 129264, files/test3.txt, files/test1.txt
7, Memoización, 7056, 167.102, 129264, files/test3.txt, files/test1.txt
8, Memoización, 7056, 171.382, 129320, files/test3.txt, files/test1.txt
9, Memoización, 7056, 172.325, 129284, files/test3.txt, files/test1.txt
10, Memoización, 7056, 175.011, 129284, files/test3.txt, files/test1.txt
11, Memoización, 7056, 169.909, 129288, files/test3.txt, files/test1.txt
12, Memoización, 7056, 170.049, 129284, files/test3.txt, files/test1.txt
13, Memoización, 7056, 171.38, 129320, files/test3.txt, files/test1.txt
14, Memoización, 7056, 169.722, 129320, files/test3.txt, files/test1.txt
15, Memoización, 7056, 169.83, 129272, files/test3.txt, files/test1.txt
16, Memoización, 7056, 170.545, 129320, files/test3.txt, files/test1.txt
17, Memoización, 7056, 167.987, 129316, files/test3.txt, files/test1.txt
18, Memoización, 7056, 169.871, 129280, files/test3.txt, files/test1.txt
19, Memoización, 7056, 174.046, 129284, files/test3.txt, files/test1.txt
20, Memoización, 7056, 166.809, 129320, files/test3.txt, files/test1.txt
21, Memoización, 7056, 168.017, 129320, files/test3.txt, files/test1.txt
22, Memoización, 7056, 170.599, 129316, files/test3.txt, files/test1.txt
23, Memoización, 7056, 169.438, 129320, files/test3.txt, files/test1.txt
24, Memoización, 7056, 168.231, 129320, files/test3.txt, files/test1.txt
25, Memoización, 7056, 167.772, 129264, files/test3.txt, files/test1.txt
26, Memoización, 7056, 169.151, 129268, files/test3.txt, files/test1.txt
27, Memoización, 7056, 170.204, 129320, files/test3.txt, files/test1.txt
28, Memoización, 7056, 171.946, 129320, files/test3.txt, files/test1.txt
29, Memoización, 7056, 167.629, 129268, files/test3.txt, files/test1.txt
30, Memoización, 7056, 170.65, 129320, files/test3.txt, files/test1.txt
1, Memoización, 7376, 345.013, 254504, files/test3.txt, files/test2.txt
2, Memoización, 7376, 345.508, 254468, files/test3.txt, files/test2.txt
3, Memoización, 7376, 345.118, 254504, files/test3.txt, files/test2.txt
4, Memoización, 7376, 343.768, 254456, files/test3.txt, files/test2.txt
5, Memoización, 7376, 348.209, 254504, files/test3.txt, files/test2.txt
6, Memoización, 7376, 340.34, 254504, files/test3.txt, files/test2.txt
7, Memoización, 7376, 346.524, 254504, files/test3.txt, files/test2.txt
8, Memoización, 7376, 345.256, 254504, files/test3.txt, files/test2.txt
9, Memoización, 7376, 346.305, 254504, files/test3.txt, files/test2.txt
10, Memoización, 7376, 351.618, 254496, files/test3.txt, files/test2.txt
11, Memoización, 7376, 343.412, 254504, files/test3.txt, files/test2.txt
12, Memoización, 7376, 342.139, 254468, files/test3.txt, files/test2.txt
13, Memoización, 7376, 355.056, 254500, files/test3.txt, files/test2.txt
14, Memoización, 7376, 345.726, 254496, files/test3.txt, files/test2.txt
15, Memoización, 7376, 347.414, 254504, files/test3.txt, files/test2.txt
16, Memoización, 7376, 348.342, 254496, files/test3.txt, files/test2.txt
17, Memoización, 7376, 345.307, 254468, files/test3.txt, files/test2.txt
18, Memoización, 7376, 352.888, 254496, files/test3.txt, files/test2.txt
19, Memoización, 7376, 345.902, 254456, files/test3.txt, files/test2.txt
20, Memoización, 7376, 352.736, 254504, files/test3.txt, files/test2.txt
21, Memoización, 7376, 342.549, 254464, files/test3.txt, files/test2.txt
22, Memoización, 7376, 346.804, 254456, files/test3.txt, files/test2.txt
23, Memoización, 7376, 344.409, 254464, files/test3.txt, files/test2.txt
24, Memoización, 7376, 343.727, 254464, files/test3.txt, files/test2.txt
25, Memoización, 7376, 343.759, 254464, files/test3.txt, files/test2.txt
26, Memoización, 7376, 350.066, 254504, files/test3.txt, files/test2.txt
27, Memoización, 7376, 345.048, 254504, files/test3.txt, files/test2.txt
28, Memoización, 7376, 345.099, 254472, files/test3.txt, files/test2.txt
29, Memoización, 7376, 343.474, 254472, files/test3.txt, files/test2.txt
30, Memoización, 7376, 349.209, 254468, files/test3.txt, files/test2.txt
1, Memoización, 0, 159.163, 504304, files/test3.txt, files/test3.txt
2, Memoización, 0, 161.94, 504360, files/test3.txt, files/test3.txt
3, Memoización, 0, 160.376, 504312, files/test3.txt, files/test3.txt
4, Memoización, 0, 157.2, 504292, files/test3.txt, files/test3.txt
5, Memoización, 0, 158.479, 504360, files/test3.txt, files/test3.txt
6, Memoización, 0, 158.205, 504324, files/test3.txt, files/test3.txt
7, Memoización, 0, 156.739, 504360, files/test3.txt, files/test3.txt
8, Memoización, 0, 160.765, 504360, files/test3.txt, files/test3.txt
9, Memoización, 0, 157.846, 504312, files/test3.txt, files/test3.txt
10, Memoización, 0, 157.27, 504352, files/test3.txt, files/test3.txt
11, Memoización, 0, 160.395, 504352, files/test3.txt, files/test3.txt
12, Memoización, 0, 158.333, 504352, files/test3.txt, files/test3.txt
13, Memoización, 0, 157.629, 504324, files/test3.txt, files/test3.txt
14, Memoización, 0, 154.073, 504324, files/test3.txt, files/test3.txt
15, Memoización, 0, 154.455, 504324, files/test3.txt, files/test3.txt
16, Memoización, 0, 158.547, 504352, files/test3.txt, files/test3.txt
17, Memoización, 0, 156.062, 504308, files/test3.txt, files/test3.txt
18, Memoización, 0, 158.113, 504356, files/test3.txt, files/test3.txt
19, Memoización, 0, 159.249, 504360, files/test3.txt, files/test3.txt
20, Memoización, 0, 157.035, 504324, files/test3.txt, files/test3.txt
21, Memoización, 0, 157.944, 504360, files/test3.txt, files/test3.txt
22, Memoización, 0, 155.977, 504184, files/test3.txt, files/test3.txt
23, Memoización, 0, 155.018, 504360, files/test3.txt, files/test3.txt
